SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SiteAddress
南港溪橋,Nangang River Bridge,苗栗縣,造橋鄉,中港溪流域,南港溪(苗),120.8678510,24.6558990,236623.94,2727671.63,苗栗縣造橋鄉1號公路98km處
南湖大橋,Nanhooda Bridge,台北市,南港區,淡水河流域,基隆河,121.6120210,25.0632350,311746.58,2772921.38,台北市內湖區康寧路
南華大橋,Nanhuada Bridge,屏東縣,高樹鄉,高屏溪流域,高屏溪,120.5896730,22.7703160,207865.31,2518908.33,屏東縣高樹鄉台27線公路(41.5公里處)
南萣橋,Nandin Bridge,台南市,南區,二仁溪流域,二仁溪,120.1845860,22.9187260,166358.03,2535515.30,台南市南區灣裡路(台17甲號公路17.5公里處)
南雄橋,Nansyong Bridge,高雄市,阿蓮區,二仁溪流域,二仁溪,120.3384510,22.8895340,182126.97,2532203.39,高雄市阿蓮區台19甲線公路(55公里處)
南雲大橋,Nanyunda Bridge,南投縣,竹山鎮,濁水溪流域,濁水溪,120.6569710,23.7591750,215034.86,2628395.07,南投縣竹山鎮3號公路246km處
南澳橋,Nanao Bridge,宜蘭縣,蘇澳鎮,南澳溪流域,南澳溪,121.7885990,24.4602920,329947.07,2706228.53,宜蘭縣蘇澳鎮9號公路(南澳市區)
厚生橋,Hocin Bridge,台南市,鹽水區,八掌溪流域,八掌溪,120.2530360,23.3285370,173612.07,2580860.91,台南市鹽水區台19線公路(98公里處)
客雅溪橋,Keya River Bridge,新竹市,北區,客雅溪流域,客雅溪,120.9588140,24.7967360,245835.90,2743264.60,新竹市北區中華路二段鐵道路
後池堰,Hochih Weir,桃園縣,龍潭鄉,淡水河流域,大漢溪,121.2516590,24.8241890,275438.60,2746328.08,桃園縣龍潭鄉台4線與台3乙線交會處附近
後龍溪橋,Houlong River Bridge,苗栗縣,後龍鎮,後龍溪流域,後龍溪,120.7842980,24.6087440,228158.59,2722459.65,苗栗縣後龍鎮台1號公路110km處
急水溪橋,Jishueici Bridge,台南市,柳營區,急水溪流域,急水溪,120.3241400,23.2961150,180866.97,2577234.72,台南市柳營區台1線公路(291公里處)
急水溪橋(原為鐵線里),Teisian Vi.,台南市,下營區,急水溪流域,急水溪,120.2773820,23.2608930,176064.56,2573357.24,台南市下營區鐵線里台19甲線公路(6.5公里處)
星見橋,Singein Bridge,桃園縣,桃園市,南崁溪流域,茄苳溪(桃),121.2826430,25.0097310,278527.87,2766885.18,桃園縣桃園市中正里110號公路與國際路口附近
柑子林橋,Gandzulin Bridge,南投縣,國姓鄉,烏溪流域,烏溪,120.8440200,24.0179990,234132.58,2657025.27,南投縣國姓鄉中正路二段213號
柑園大橋(取代後村圳取水口),Hocungein Intake,新北市,樹林區,淡水河流域,大漢溪,121.3816890,24.9624850,288539.62,2761676.54,新北市樹林區樂山里西圳路底
紅樹林橋(原為紅毛港大橋),Honmoa Harbor,新竹縣,新豐鄉,新豐溪流域,茄苳溪(竹),120.9787600,24.9091890,247854.49,2755719.47,新竹縣新豐鄉紅毛(紅毛港遊憩區)
美都麗橋,Meidooli Bridge,桃園縣,龍潭鄉,老街溪流域,老街溪,121.2132910,24.8742700,271551.49,2751868.54,桃園縣龍潭鄉龍潭村113號公路(中豐路)敏盛醫院旁
美慶山莊,Meichien Cottage,宜蘭縣,礁溪鄉,得子口溪流域,得子口溪,121.7470590,24.8314510,325512.10,2747315.75,宜蘭縣礁溪鄉五峰路
茄苳溪橋,Jiadong River Bridge,桃園縣,桃園市,南崁溪流域,茄苳溪(桃),121.2774370,25.0262000,277998.60,2768708.26,桃園縣蘆竹鄉大竹村南竹路
